plotnumber,sourceyr,ecoregion,ecoregion_title,ecodistr,ecodistr_title,ecosite,ecosite_title,ecosite_soil_component,mean_tree_age_year,dominanttree,dominantshrub,dominantherb,dominantcryptogam,laivascular,laitotal,position,slope_position_title,aspect,aspect_cardinal,slope,slope_class_degrees_title,drainage,drainage_title,seepage,elevation_m,mr,soil_moisture_class_title,pm,parent_material_title,order_soil,soil_order_title,grgroup,soil_great_group_title,subgrp,soil_subgroup_title,cf_percent_120,particlesizeclassname_dom_0_30,depth_to_bedrock_cm,depth_to_water_table_cm,depth_to_root_restricting_cm,depth_of_organic_matter_cm,total_live_cover_percent,unknown_taxa_total_cover_percent,number_of_taxa_after_transform,calcareous_0_30,leaf_litter,needle_litter,rock,soil,water,woody_debris,broadleaf_tree,needleleaf_tree,broadleaf_overstory_tree,broadleaf_sapling,broadleaf_seedling,needleleaf_overstory_tree,needleleaf_sapling,needleleaf_seedling,shrub_cover,floating_aquatic_cover,forbs_and_graminoids,bryophytes_and_lichens,submerged_aquatic
1545,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,77,BETUPAP,NA,GOODREP,PLEUSCH,111.46,168.16,3,Mid Slope,54,E,3,2.0 – 5.0 degrees,1,Very rapid,1,483,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,68,Sandy,NA,NA,NA,17,173.64,0,27,non-calcareous,28.75,0.5,0,0,0,10,19,55.22,10,10,0,48.7,10,3,10,0,0.76,74,0
1546,2002,BS,Boreal Shield,C12,Wheeler Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,68,PINUBAN,VACCMYR,NA,CLADMIT,17.92,48.37,7,Level,999,L,1,0 – 0.5 degrees,1,Very rapid,0,486,1,Dry,9,Rock,8,Nonsoil,19,Nonsoil,NS,NA,0,Bedrock,0,NA,0,5,89.26,0,30,non-calcareous,0,1.75,41.25,0.25,0,0.5,0,13.36,0,0,0,0,12.7,0.75,3.71,0,0,71.75,0
1547,2002,BS,Boreal Shield,C12,Wheeler Upland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,101.5,PICEMAR,EMPENIG,LYCOCOM,CLADMIT,53.1,73.35,3,Mid Slope,312,W,3,2.0 – 5.0 degrees,5,Imperfect,1,475,7,Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,40,Sandy,NA,NA,NA,3,117.49,0,30,non-calcareous,0,0.5,0.5,0,0,6.5,0,26.46,0,0,0,0,22.4,5.24,19.89,0,1.5,66.25,0
1549,2002,BS,Boreal Shield,C12,Wheeler Upland,BS17,Black spruce treed bog,Very moist mesic organic,177.5,PICEMAR,VACCVIT,EQUISYL,PLEUSCH,47.15,115.7,7,Level,999,L,1,0 – 0.5 degrees,6,Poor,0,468,8,Very Moist,3,Morainal,2,Gleysolic,5,Gleysol,REG,Rego,88,Sandy,NA,5,NA,25,131.68,0.75,37,non-calcareous,0.25,1.75,11.5,0,0,1.75,0,27.39,0,0,0,3,20,6.43,13.93,0,0.75,86.75,0
1550,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,68.5,POPUTRE,VACCVIT,ARALNUD,BRYOSPP,148.36,155.97,2,Upper Slope,180,S,7,> 30.0 degrees,2,Rapid,0,404,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,8,168.67,0.5,51,non-calcareous,50,0,1.5,0,0,6.5,69.13,10.9,62.5,5.91,12.51,0,10,1,32.36,0,19.26,21.51,0
1551,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,51,PINUBAN,VACCMYR,NA,CLADMIT,68.92,146.02,1,Crest,135,E,4,5.0 – 9.0 degrees,1,Very rapid,0,NA,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ORT,Orthic,38,Sandy,NA,NA,NA,1,165.27,0,24,non-calcareous,10,0,10,0,0,16.5,0,63.63,0,0,0,0,63.63,0.02,3.71,0,0,96,0
1554,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,68.33333588,POPUTRE,ALNUCRI,CORNCAN,PLEUSCH,163.255,181.605,3,Mid Slope,130,E,5,9.0 – 15.0 degrees,1,Very rapid,0,428,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ORT,Orthic,68,Loamy,NA,NA,NA,13,168,0,54,non-calcareous,37.5,3,0,0,0,15,41.66,32.82,37.5,1.5,5.24,19,3,14.5,11.88,0,42.76,30.5,0
1555,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,57.25,POPUTRE,VACCVIT,LINNBOR,PTILCIL,219.28,223.18,3,Mid Slope,150,S,7,> 30.0 degrees,2,Rapid,0,418,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,8,218.27,0,42,non-calcareous,87.5,0,0.01,0.25,0,3,95.37,0,37.5,92.19,5.25,0,0,0,18.86,0,13,17.5,0
1556,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,134,PICEMAR,VACCVIT,CORNCAN,PLEUSCH,127.85,184.6,3,Mid Slope,266,W,4,5.0 – 9.0 degrees,1,Very rapid,0,428,2,Moderately Dry,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,88,Sandy,NA,NA,NA,12,177.93,0,36,non-calcareous,19,1.75,0,0,0,37.5,28.49,47.36,24,5.91,0,37.5,10,6.43,11.3,0,14,68.25,0
1557,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP14,Black spruce/Labrador tea/feathermoss,Very moist sandy clay loam,88,PICEMAR,VACCANG,NA,PLEUSCH,60.02,154.97,3,Mid Slope,163,S,2,0.5 – 2.0 degrees,6,Poor,0,482,8,Very Moist,3,Morainal,2,Gleysolic,5,Gleysol,ORT,Orthic,29,Sandy,NA,72,NA,16,158.02,0,22,non-calcareous,0.5,3,0,0,0,15,0.01,51.5,0,0.01,0,50,3,0,0.01,0,0,100,0
1558,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS17,Black spruce treed bog,Very moist mesic organic,62.5,PICEMAR,LEDUGRO,CALACAN,SPHARUS,69.385,73.585,7,Level,999,L,1,0 – 0.5 degrees,6,Poor,1,398,8,Very Moist,5,Glacial-lacustrine,2,Gleysolic,5,Gleysol,REG,Rego,0,Fine-Clayey,NA,13,NA,33,140.28,0.5,38,non-calcareous,6.5,0,0,0,5,1.75,3.01,29.26,0,3,0.01,0,28,1.75,21.86,0,12.25,69.51,0
1559,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,53.25,PINUBAN,LEDUGRO,NA,CLADMIT,57.52,118.47,2,Upper Slope,140,S,6,15.0 – 30.0 degrees,3,Well,0,426,4,Fresh,6,Eolian,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Loamy,NA,NA,NA,10,134.27,0,28,non-calcareous,19,0,0,0,0,23.75,0.01,41.68,0,0,0.01,28,19,0.01,4.43,0,0,79.75,0
1560,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS14,White birch/lingonberry - Labrador tea,Moderately dry sand,53.5,BETUPAP,LEDUGRO,CORNCAN,PLEUSCH,207.455,214.555,3,Mid Slope,110,E,5,9.0 – 15.0 degrees,5,Imperfect,1,398,8,Very Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,46,Sandy,NA,NA,NA,16,238.75,19.25,39,non-calcareous,20,0,0,0,0,6.5,92.19,15.74,37.5,87.5,0,10,3,3.49,3.49,0,32,61.75,0
1561,2003,BP,Boreal Plain,E19,La Ronge Lowland,BP12,Jack pine - spruce/feathermoss,Fresh loamy sand,89.16666412,PICEMAR,LEDUGRO,LYCOANN,PLEUSCH,83.43,130.88,2,Upper Slope,303,W,5,9.0 – 15.0 degrees,2,Rapid,1,381,5,Very Fresh,3,Morainal,2,Gleysolic,5,Gleysol,ORT,Orthic,NA,Sandy,NA,33,NA,7,132.43,0,27,non-calcareous,23.75,5.25,0,0,0,37.5,3,32.11,0,3,0.01,12.71,21.43,1.01,38.29,0,4.75,48.25,0
1562,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,55.66666794,PINUBAN,VACCVIT,NA,PLEUSCH,67.62,156.72,2,Upper Slope,120,E,3,2.0 – 5.0 degrees,1,Very rapid,0,NA,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ORT,Orthic,38,Sandy,NA,NA,NA,8,174.75,0.02,29,non-calcareous,10,0,1.5,0,0,15,3,51.21,0,3,0,22.4,36,1.75,1.75,0,0,100,0
1564,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP12,Jack pine - spruce/feathermoss,Fresh loamy sand,51,PINUBAN,VACCVIT,GRAMSPP,PLEUSCH,62.92,131.37,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,474,5,Very Fresh,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,30,Sandy,NA,NA,NA,12,132.77,0.25,23,non-calcareous,0.5,23.75,0,0,0,5.25,0,52.49,0,0,0,45.44,12.7,0.25,0.51,0,0.01,72.25,0
1565,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,50.5,BETUPAP,VACCVIT,NA,DICRPOL,248.86,253.66,4,Lower Slope,280,W,7,> 30.0 degrees,1,Very rapid,0,440,1,Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,10,Sandy,26,NA,26,11,232.15,3.005,30,non-calcareous,75,0,0.5,0,0,10,76.56,68.92,37.5,62.5,0,10,62.5,7.9,32.62,0,0,18.5,0
1566,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,100,PICEMAR,LEDUGRO,NA,PLEUSCH,75.055,167.655,2,Upper Slope,140,S,2,0.5 – 2.0 degrees,2,Rapid,0,408,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,17,154.98,0,18,non-calcareous,0.5,0,0,0,0,0.5,0,30.15,0,0,0,20,10,2.98,20.42,0,0,100,0
1568,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,99.33333588,BETUPAP,LEDUGRO,NA,PLEUSCH,60.3,112.85,2,Upper Slope,310,W,4,5.0 – 9.0 degrees,2,Rapid,0,429,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,38,Loamy,28,NA,28,14,122.75,0,21,non-calcareous,0.5,0.5,0,0,0,5.25,10,19.41,0,10,0,10,10.45,0,28.36,0,0,61.5,0
1569,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,71.16666412,PICEMAR,LEDUGRO,SMILTRI,PLEUSCH,163,221.15,5,Toe Slope,340,N,2,0.5 – 2.0 degrees,3,Well,0,387,NA,NA,8,Colluvial,6,Regosolic,10,"Regosol	",CUM,Cumulic,3,NA,58,NA,58,36,207.9,0,37,non-calcareous,32.75,0,0.25,0,0,11.5,1,92.67,0.5,0.5,0,90,20.4,7.9,16.22,0,0.25,71.25,0
1570,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,49.5,PICEMAR,ALNUCRI,NA,CLADSPP,97.6,134.15,3,Mid Slope,340,N,4,5.0 – 9.0 degrees,2,Rapid,1,420,3,Moderately Fresh,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,10,Loamy,34,NA,34,16,134.26,0,30,non-calcareous,1.5,1.75,1.75,0,0,3,3,66.76,0,3,0,0,66.25,1.5,10.45,0,0,46.76,0
1571,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,54.5,PINUBAN,VACCMYR,NA,PLEUSCH,131.56,261.41,2,Upper Slope,310,W,3,2.0 – 5.0 degrees,2,Rapid,0,426,2,Moderately Dry,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Loamy,42,NA,42,32,223.91,0,34,non-calcareous,0,5.25,11.5,0,0,5.25,0.01,82.73,0,0,0.01,0,76.56,26.32,2.73,0,0,93.25,0
1572,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS17,Black spruce treed bog,Very moist mesic organic,126,PICEMAR,LEDUGRO,RUBUCHA,PLEUSCH,82.71,137.06,7,Level,999,L,2,0.5 – 2.0 degrees,5,Imperfect,1,NA,7,Moist,4,Lacustrine,2,Gleysolic,5,Gleysol,ORT,Orthic,0,Loamy,NA,NA,NA,45,184.63,0.01,26,non-calcareous,0.5,0,0,0,0,6.5,0,47.67,0,0,0,0,37.5,16.28,14.22,0,2,100,0
1573,2002,BS,Boreal Shield,C12,Wheeler Upland,BS7,Black spruce/blueberry/lichen,Moderately dry sand,58.75,PICEMAR,VACCMYR,NA,CLADMIT,44.16,120.96,4,Lower Slope,300,W,5,9.0 – 15.0 degrees,3,Well,0,490,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,53,Loamy,NA,NA,NA,6,129.25,1,25,non-calcareous,0.5,15,0.25,0,0,6.5,0,28.67,0,0,0,5.91,20,5.24,9.7,0,0,88,0
1574,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,63.75,PICEMAR,LEDUGRO,NA,PLEUSCH,111.46,204.16,3,Mid Slope,125,E,2,0.5 – 2.0 degrees,2,Rapid,0,406,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,74,Sandy,NA,NA,NA,24,218.01,0,27,non-calcareous,15,0,0,0,0,0.5,3,68.24,0,3,0,10,63.63,3,29.91,0,0,100,0
1575,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS17,Black spruce treed bog,Very moist mesic organic,NA,PICEMAR,LEDUGRO,ERIOVAG,CLADSPP,84.2,93.4,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,1,392,10,Wet,7,Organic,1,Organic,2,Mesisol,TYP,Typic,0,Organic Fibric,NA,30,NA,160,148.49,0,27,non-calcareous,6.5,0,0,0,0,6.5,0,25.48,0,0,0,0,20.4,6.38,48.6,0,3.75,62,0
1576,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,80,BETUPAP,ALNUCRI,PYROSEC,HYLOSPL,116,178.7,4,Lower Slope,155,S,6,15.0 – 30.0 degrees,1,Very rapid,0,424,2,Moderately Dry,3,Morainal,4,Luvisolic,7,"Gray						",ORT,Orthic,74,Sandy,NA,NA,NA,10,186.25,0,37,non-calcareous,23.75,5.25,0,0,0,23.75,49.07,35.22,35.2,20,1.75,12.7,3,23.5,3.97,0,3,78,0
1577,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,97,BETUPAP,ROSAACI,ARALNUD,HYLOSPL,261.05,283.5,3,Mid Slope,126,E,7,> 30.0 degrees,1,Very rapid,0,449,1,Dry,8,Colluvial,5,Brunisolic,9,"Dystric			",ORT,Orthic,38,Bedrock,10,NA,10,18,238,0.5,59,non-calcareous,50,0.5,1.75,0,0,6.5,54.39,38.09,20,39.98,5,35.2,3,1.5,41.45,0,39.5,35.75,0
1578,2003,BP,Boreal Plain,E19,La Ronge Lowland,BP13,White spruce - balsam fir/feathermoss,Fresh sandy clay loam,139.5,PICEMAR,ROSAACI,GEOCLIV,PLEUSCH,26.02,65.92,1,Crest,315,W,4,5.0 – 9.0 degrees,3,Well,0,384,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,NA,Loamy,NA,NA,NA,19,73.01,0,26,non-calcareous,10,3,0,0,0,28.75,10.1,13.35,5.91,0.5,3.97,10,3,0.75,0.26,0,4.75,43.75,0
1579,2002,BP,Boreal Plain,E20,Wapawekka Upland,BP15,Balsam poplar - white spruce/feathermoss,Very moist silty loam,89.5,ABIEBAL,CORNSTO,EQUIARV,HYLOSPL,134.7,142.9,4,Lower Slope,30,N,2,0.5 – 2.0 degrees,6,Poor,0,460,8,Very Moist,7,Organic,1,Organic,18,Folisol,LIG,Lignic,17,LFH,NA,NA,NA,52,140.48,0.25,65,non-calcareous,75,3,0,0,0,23.75,17.01,24.5,5.91,10.45,1.5,12.7,8.73,5.24,22.32,0,51.75,19.25,0
1580,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,50,PINUBAN,VACCMYR,CORNCAN,HYLOSPL,116.97,127.57,2,Upper Slope,190,S,7,> 30.0 degrees,3,Well,0,402,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,46,Loamy,NA,NA,NA,7,133.52,1.5,42,non-calcareous,10,11.5,1.5,0,0,10,22.4,50,0,20,3,37.5,20,0,22.72,0,9.27,19.25,0
1581,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP18,Black spruce - tamarack treed swamp,Wet humic organic,153,PICEMAR,LEDUGRO,RUBUPUB,HYLOSPL,80.105,95.155,3,Mid Slope,355,N,2,0.5 – 2.0 degrees,7,Very poor,0,467,9,Moderately Wet,7,Organic,1,Organic,1,Fibrisol,TER,Terric,2,Organic Fibric,NA,98,NA,60,104.3,5.255,43,non-calcareous,6.5,1.505,0,0,0,28.75,0,12.73,0,0,0,12.7,0.01,0.02,35.19,0,26.77,25.5,0
1582,2002,BP,Boreal Plain,E20,Wapawekka Upland,BP14,Black spruce/Labrador tea/feathermoss,Very moist sandy clay loam,114,PICEMAR,LEDUGRO,EQUIARV,PLEUSCH,97.15,149.55,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,450,9,Moderately Wet,7,Organic,1,Organic,3,Humisol,TER,Terric,1,Organic Fibric,NA,104,NA,85,157.76,3.25,37,non-calcareous,6.5,0.5,0,0,0,3,0,14,0,0,0,10,3,1.49,56.19,0,16.5,62.25,0
1583,1999 2000,BS,Boreal Shield,D4,Foster Upland,BS14,White birch/lingonberry - Labrador tea,Moderately dry sand,71.5,BETUPAP,ALNURUG,CALACAN,BRYOSPP,210.395,216.895,3,Mid Slope,310,W,5,9.0 – 15.0 degrees,2,Rapid,1,390,2,Moderately Dry,7,Organic,1,Organic,18,Folisol,HEM,Hemic,0,LFH,20,NA,20,18,209.79,0.005,67,non-calcareous,23.75,0,0.5,0,0,20.25,92.04,0.01,89.84,20,1.99,0,0,0.01,3.47,0,52.02,26,0
1586,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP2,Jack pine/lichen,Moderately fresh sand,52,PINUBAN,ARCTUVA,MAIACAN,CLADMIT,89.33,129.33,3,Mid Slope,206,S,3,2.0 – 5.0 degrees,2,Rapid,0,409,2,Moderately Dry,1,Fluvial,5,Brunisolic,8,"Eutric				",ELU,Eluviated,4,Sandy,NA,NA,NA,3,142.52,0.25,29,non-calcareous,0.5,6.5,0,0,0,0.5,0,63.34,0,0,0,62.5,0,2.25,21.62,0,3.52,51.25,0
1588,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP11,White birch - white spruce - balsam fir,Fresh sandy clay loam,55.7142868,PICEMAR,LEDUGRO,LYCOANN,PLEUSCH,159.41,188.51,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,421,5,Very Fresh,3,Morainal,4,Luvisolic,7,"Gray						",POD,Podzolic,22,Sandy,NA,NA,NA,16,178,0,37,non-calcareous,28.75,0.5,0,0,0,3,42,59.34,15.33,31.5,0,30.16,9.23,35.87,6.9,0,10.79,35,0
1590,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP2,Jack pine/lichen,Moderately fresh sand,51.5,PINUBAN,VACCVIT,LINNBOR,CLADMIT,34.37,88.67,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,425,2,Moderately Dry,1,Fluvial,5,Brunisolic,8,"Eutric				",ELU,Eluviated,1,Sandy,NA,NA,NA,5,98.17,0,24,non-calcareous,0.5,3,0,0,0,1.75,0,22.79,0,0,0,22.4,0.5,0.01,10.89,0,3.51,60.5,0
1591,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,39.5,PICEMAR,LEDUGRO,LYCOANN,PLEUSCH,165.41,256.91,3,Mid Slope,132,E,4,5.0 – 9.0 degrees,3,Well,1,449,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",ORT,Orthic,60,Sandy,NA,NA,NA,23,267.01,0,31,non-calcareous,1.75,0.5,0,0,0,28.75,3,83.86,0,3,0.01,66.25,43.75,15,22.98,0,3.75,100,0
1592,2002,BS,Boreal Shield,C12,Wheeler Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,80.25,PICEMAR,VACCMYR,NA,CLADMIT,36.41,113.76,3,Mid Slope,290,W,3,2.0 – 5.0 degrees,3,Well,0,483,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,67,Loamy,NA,NA,NA,4,128.76,0,25,non-calcareous,0.25,6.5,0.5,0,0,6.5,0,21.83,0,0,0,3,19,0.51,14.23,0,0,90.5,0
1593,2002,BS,Boreal Shield,C12,Wheeler Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,67,PICEMAR,VACCMYR,NA,CLADMIT,62.75,126.6,3,Mid Slope,284,W,2,0.5 – 2.0 degrees,2,Rapid,0,475,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,56,Sandy,NA,NA,NA,9,131,0,26,non-calcareous,0.5,3,0.25,0,0,10,0,47.6,0,0,0,5.91,43.75,1,10.89,0,0,65.25,0
1594,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP12,Jack pine - spruce/feathermoss,Fresh loamy sand,59.59999847,PINUBAN,ALNUCRI,ARALNUD,CLADMIT,203.125,215.975,3,Mid Slope,311,W,3,2.0 – 5.0 degrees,3,Well,0,438,3,Moderately Fresh,1,Fluvial,5,Brunisolic,8,"Eutric				",ELU,Eluviated,6,Sandy,NA,NA,NA,5,177.02,1,31,non-calcareous,44,20.25,0,0,0,10.25,0,52.85,0,0,0,49.38,3.49,3.49,65.47,0,8.26,20,0
1595,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,49.83333206,BETUPAP,VACCMYR,GOODREP,PLEUSCH,122.8,162.95,1,Crest,270,W,1,0 – 0.5 degrees,3,Well,0,427,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,73,Loamy,NA,NA,NA,13,175.35,0,27,non-calcareous,45.25,6.5,0,0,0,20,21.43,74.98,12.7,10,0,24.73,66.25,1.5,1,0,0.5,51.75,0
1596,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP13,White spruce - balsam fir/feathermoss,Fresh sandy clay loam,77.5,PICEGLA,VIBUEDU,MITENUD,PLEUSCH,123.71,142.91,4,Lower Slope,32,N,6,15.0 – 30.0 degrees,3,Well,0,438,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,31,Sandy,NA,NA,NA,14,130.77,0.25,43,non-calcareous,62.5,11.5,0,0,0,6.5,22.41,53.09,22.4,0.01,0,41.19,10.01,11.35,5.17,0,21.01,17.75,0
1597,2002,BS,Boreal Shield,C12,Wheeler Upland,BS17,Black spruce treed bog,Very moist mesic organic,164.5,PICEMAR,LEDUGRO,RUBUCHA,PLEUSCH,74.12,154.12,7,Level,999,L,1,0 – 0.5 degrees,6,Poor,0,470,8,Very Moist,3,Morainal,2,Gleysolic,5,Gleysol,FER,Fera,42,Sandy,NA,18,NA,31,187.01,0,31,non-calcareous,3,0,0,0,0,3,0,30.51,0,0,0,0,28,3.49,36.83,0,1.75,100,0
1599,1999 2000,BS,Boreal Shield,D9,Sisipuk Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,91.5,PICEMAR,LEDUGRO,GOODREP,PLEUSCH,47.92,89.97,3,Mid Slope,230,W,6,15.0 – 30.0 degrees,3,Well,0,414,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",ORT,Orthic,38,Loamy,NA,NA,NA,18,98.02,0,25,non-calcareous,48.75,5.25,0,0,0,23.75,0.5,43.75,0,0.5,0,37.5,10,0,0.52,0,0.5,49,0
1600,2002,BS,Boreal Shield,C9,Pasfield Lake Plain,BP12,Jack pine - spruce/feathermoss,Fresh loamy sand,68.5,PINUBAN,LEDUGRO,LYCOANN,PLEUSCH,98.23,187.28,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,438,5,Very Fresh,1,Fluvial,5,Brunisolic,8,"Eutric				",ELU,Eluviated,6,Sandy,NA,NA,NA,6,174.45,1.02,35,non-calcareous,6.5,0.5,0,0,0,3,8.32,37.09,0,3,5.48,15.32,3.49,23.03,23.38,0,0.5,98,0
1601,2001,TS,Taiga Shield,A4,Striding River Upland,TS2,Jack pine - black spruce/lichen,Moderately dry sand,44,PINUBAN,VACCVIT,GEOCLIV,CLADSPP,74.16,96.76,1,Crest,126,E,4,5.0 – 9.0 degrees,1,Very rapid,0,430,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,38,Sandy,NA,NA,NA,1,107.25,1,25,non-calcareous,6.5,3,1.5,0,0,10,0.01,40.58,0,0.01,0,0,39.38,1.99,27.87,0,0.25,33.5,0
1602,2001,TS,Taiga Shield,A4,Striding River Upland,TS2,Jack pine - black spruce/lichen,Moderately dry sand,44.75,PICEMAR,VACCVIT,GEOCLIV,BRYOSPP,102.78,110.78,5,Toe Slope,144,S,3,2.0 – 5.0 degrees,1,Very rapid,0,435,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,65,Sandy,NA,NA,NA,5,124.25,0.015,29,non-calcareous,48.75,5.25,0,0,0,11.5,10,62.11,0,10,0,0,60.94,3,13.92,0,3,19,0
1603,1999 2000,BP,Boreal Plain,E19,La Ronge Lowland,BP6,Trembling aspen/beaked hazel/sarsaparilla,Fresh loamy sand,72.5,POPUTRE,ALNUCRI,CORNCAN,CLADCON,151.035,154.935,5,Toe Slope,190,S,2,0.5 – 2.0 degrees,2,Rapid,0,419,3,Moderately Fresh,1,Fluvial,9,Podzolic,20,Humo-Ferric,OST,NA,18,Sandy,NA,NA,NA,13,153.47,0.5,51,non-calcareous,87.5,0.25,0,0.25,0,20,67.01,0,66.25,0.5,1.75,0,0,0,31.43,0,30.52,18.25,0
